tsne_1,tsne_2,genre,cluster
-28.917679,42.918396,rock,1
23.245337,52.063663,rock,2
20.705935,-75.24046,latin,5
-36.02188,-23.60065,pop,5
-79.29354,-10.255963,edm,5
-40.79232,31.058363,rock,1
19.064947,-51.771446,rap,5
-54.19254,-56.61647,rap,5
-49.224926,1.3050172,edm,1
38.852203,77.78591,rock,2
-41.294624,34.06369,pop,1
57.627052,-32.665424,rap,4
16.839333,52.543015,rock,2
6.2356367,11.672205,pop,5
-65.59983,-47.52406,pop,5
-46.34862,11.569236,rock,1
35.85044,-57.33807,latin,4
24.336231,-40.196705,latin,4
15.099756,55.108074,rock,2
-39.6109,26.459908,pop,1
-48.211964,73.19563,rock,3
3.6546388,31.998865,pop,1
-12.91794,16.12765,rock,4
48.443905,-69.08265,latin,4
-30.65554,-19.427486,r&b,5
-35.585285,-48.599,pop,5
-54.26509,31.697222,rock,1
57.205544,-23.778856,rap,4
-76.21825,28.384539,pop,3
-62.998653,-22.98071,pop,5
